# raw signal
# index,l,r,value,z
459,0,235.0,-0.0003478291098085001,1.4
460,0,240.0,-0.0003302640414436265,1.4
461,0,245.0,-0.00031293986164077526,1.4
462,0,250.0,-0.00029628414599654933,1.4
463,0,255.0,-0.0002806643773090732,1.4
464,0,260.0,-0.00026617450309264197,1.4
465,0,265.0,-0.0002521245954281041,1.4
466,0,270.0,-0.00023800449690763585,1.4
467,0,275.0,-0.00022399354492380025,1.4
468,0,280.0,-0.00021035560104404072,1.4
469,0,285.0,-0.00019744403492964524,1.4
470,0,290.0,-0.00018602989889647824,1.4
471,0,295.0,-0.00017646417084736903,1.4
472,0,300.0,-0.00016827421473551767,1.4
473,0,305.0,-0.00016093463952691046,1.4
474,0,310.0,-0.00015424417454065344,1.4
475,0,315.0,-0.0001478498624858688,1.4
476,0,320.0,-0.00014121448066687877,1.4
477,0,325.0,-0.0001342225872827285,1.4
478,0,330.0,-0.00012719435715996026,1.4
479,0,335.0,-0.00012028610558490839,1.4
480,0,340.0,-0.00011351523115403268,1.4
481,0,345.0,-0.00010716367021855835,1.4
482,0,350.0,-0.00010156563099328836,1.4
483,0,355.0,-9.66532861281664e-05,1.4
484,0,360.0,-9.204689587695099e-05,1.4
485,0,365.0,-8.745947469948399e-05,1.4
486,0,370.0,-8.284573028454528e-05,1.4
487,0,375.0,-7.830750960620642e-05,1.4
488,0,380.0,-7.406120255070111e-05,1.4
489,0,385.0,-7.031672852920807e-05,1.4
490,2,40.0,-0.06261628169544187,1.4
491,2,45.0,-0.05156848071217334,1.4
492,2,50.0,-0.04303437407106049,1.4
493,2,55.0,-0.03630735376324278,1.4
494,2,60.0,-0.030920746173242544,1.4
495,2,65.0,-0.026551043111710502,1.4
496,2,70.0,-0.022962363322148207,1.4
497,2,75.0,-0.019985907242913183,1.4
498,2,80.0,-0.017494248954491882,1.4
499,2,85.0,-0.01539135235763151,1.4
500,2,90.0,-0.013605384944265468,1.4
501,2,95.0,-0.012079018527735902,1.4
502,2,100.0,-0.010769140353971519,1.4
503,2,105.0,-0.009642902640629067,1.4
504,2,110.0,-0.00867081917811897,1.4
505,2,115.0,-0.007825602202091789,1.4
506,2,120.0,-0.007075416564482885,1.4
507,2,125.0,-0.006371745023056499,1.4
508,2,130.0,-0.005650571781780506,1.4
509,2,135.0,-0.004866025448765041,1.4
510,2,140.0,-0.004070879669320993,1.4
511,2,145.0,-0.0034172755694238444,1.4
512,2,150.0,-0.003024301759379693,1.4
513,2,155.0,-0.0028770981541399315,1.4
514,2,160.0,-0.002867759681304363,1.4
515,2,165.0,-0.0028888987057506302,1.4
516,2,170.0,-0.002879166415485679,1.4
517,2,175.0,-0.0028208434209571615,1.4
